state_id,state_name,state_file,province_id,province_name,blocked_by
136,Aberdeenshire,136-Aberdeenshire.txt,200,Aberdeen,naval slots
136,Aberdeenshire,136-Aberdeenshire.txt,3150,Dundee,naval slots
136,Aberdeenshire,136-Aberdeenshire.txt,9161,,naval slots
136,Aberdeenshire,136-Aberdeenshire.txt,11136,,naval slots
136,Aberdeenshire,136-Aberdeenshire.txt,11207,,naval slots
136,Aberdeenshire,136-Aberdeenshire.txt,11306,,rocket_site_spawn
826,Abkhazia,826 - Abkhazia.txt,11599,,naval slots
826,Abkhazia,826 - Abkhazia.txt,11617,Sukhumi,naval slots
826,Abkhazia,826 - Abkhazia.txt,11647,,rocket_site_spawn + naval slots
157,Abruzzo,157-Abruzzo.txt,925,Ancona,naval slots
157,Abruzzo,157-Abruzzo.txt,967,,naval slots
157,Abruzzo,157-Abruzzo.txt,3966,,naval slots
157,Abruzzo,157-Abruzzo.txt,6831,,rocket_site_spawn + naval slots
157,Abruzzo,157-Abruzzo.txt,9838,,naval slots
658,Abu Dhabi,658-Arab UK 1.txt,2048,,naval slots
658,Abu Dhabi,658-Arab UK 1.txt,7960,Abu Dhabi,naval slots
658,Abu Dhabi,658-Arab UK 1.txt,8108,,rocket_site_spawn + naval slots
658,Abu Dhabi,658-Arab UK 1.txt,10904,Dubai,naval slots
940,Acre,940 - Acre.txt,13279,,rocket_site_spawn
187,Aegean Islands,187-Aegean Islands.txt,3401,,naval slots
187,Aegean Islands,187-Aegean Islands.txt,6550,Samos,rocket_site_spawn + naval slots
187,Aegean Islands,187-Aegean Islands.txt,8435,Mitilini,naval slots
908,Afar,908-Afar.txt,5041,,rocket_site_spawn
343,Afyon,343-Afyon.txt,3856,Kütahya,rocket_site_spawn
922,Agder,922-Agder.txt,3129,,rocket_site_spawn
922,Agder,922-Agder.txt,9096,,naval slots
922,Agder,922-Agder.txt,9296,Kristiansand,naval slots
922,Agder,922-Agder.txt,11176,,naval slots
922,Agder,922-Agder.txt,11367,,naval slots
402,Akhtubinsk,402-Akhtubinsk.txt,4638,,rocket_site_spawn
590,Akmolinsk,590-Northern Kazakhstan.txt,4281,,rocket_site_spawn
1010,Al Anbar,1010-Al Anbar.txt,12413,Rumadiyah,rocket_site_spawn
1011,Al Basrah,1011-Al Basrah.txt,78,Amarah,rocket_site_spawn
1011,Al Basrah,1011-Al Basrah.txt,2089,Basrah,naval slots
675,Al Hajara,675-Al Hajara.txt,12879,Samawah,rocket_site_spawn
857,Al-Qassim,857-Ha'il.txt,10892,,rocket_site_spawn
367,Alabama,367-Alabama.txt,7480,Mobile,naval slots
367,Alabama,367-Alabama.txt,7640,,rocket_site_spawn
367,Alabama,367-Alabama.txt,10520,,naval slots
463,Alaska,463-Alaska.txt,1135,,naval slots
463,Alaska,463-Alaska.txt,1830,,naval slots
463,Alaska,463-Alaska.txt,4833,,naval slots
463,Alaska,463-Alaska.txt,4848,,naval slots
463,Alaska,463-Alaska.txt,7855,,naval slots
463,Alaska,463-Alaska.txt,7884,,naval slots
463,Alaska,463-Alaska.txt,10679,,naval slots
463,Alaska,463-Alaska.txt,10694,,rocket_site_spawn + naval slots
463,Alaska,463-Alaska.txt,10707,,naval slots
463,Alaska,463-Alaska.txt,12661,,naval slots
463,Alaska,463-Alaska.txt,13090,Unalaska,naval slots
463,Alaska,463-Alaska.txt,13091,Anchorage,naval slots
463,Alaska,463-Alaska.txt,13202,,naval slots
463,Alaska,463-Alaska.txt,13203,,naval slots
470,Alberta,470-Alberta.txt,12166,,rocket_site_spawn
677,Aleppo,677-Aleppo.txt,1088,Latakia,naval slots
677,Aleppo,677-Aleppo.txt,7671,,rocket_site_spawn
